 	Syn_Sim	Syn_real	LR_Sim	LR_real
1.03	0.158244083	0.164941072	0.145837747	0.155063313
1.06	0.157395139	0.163599891	0.14505536	0.15373248
1.09	0.156552359	0.162294019	0.144278654	0.152439241
1.12	0.155715691	0.161020115	0.143507581	0.151180048
1.14	0.155161283	0.159774837	0.142996638	0.149951353
1.17	0.154334687	0.158554845	0.142234848	0.148749608
1.2	0.153514066	0.157356797	0.141478563	0.147571264
1.23	0.152699367	0.156177352	0.140727737	0.146412773
1.26	0.15189054	0.155013168	0.139982321	0.145270586
1.28	0.151354557	0.153860904	0.13948836	0.144141156
1.31	0.1505554	0.152717218	0.138751856	0.143020933
1.34	0.149761975	0.15157877	0.138020636	0.14190637
1.37	0.148974232	0.150442218	0.137294652	0.140793918
1.39	0.1484522	0.149304221	0.136813548	0.139680029
1.42	0.147673811	0.148162018	0.136096184	0.138561231
1.45	0.146900965	0.147088109	0.135383929	0.137505722
1.48	0.146133611	0.146127612	0.134676736	0.136568295
1.51	0.145371697	0.145270592	0.133974556	0.135738737
1.53	0.144866966	0.14450711	0.133509396	0.135006834
1.56	0.144117415	0.143827232	0.13281861	0.134362374
1.59	0.143377113	0.14322102	0.132136347	0.133795145
1.62	0.142645748	0.142678538	0.131462321	0.133294933
1.65	0.141923009	0.14218985	0.130796245	0.132851525
1.67	0.141445821	0.141745019	0.130356469	0.132454709
1.7	0.140736767	0.141334108	0.129703005	0.132094272
1.73	0.14003551	0.140947182	0.129056726	0.131760001
1.76	0.139341737	0.140574304	0.128417345	0.131441683
1.79	0.138655137	0.140205538	0.127784575	0.131129105
1.81	0.138201236	0.139830946	0.127366259	0.130812054
1.84	0.137525901	0.139440594	0.126743871	0.130480317
1.87	0.13685691	0.139024543	0.126127328	0.130123683
1.9	0.136193951	0.138572858	0.125516346	0.129731937
1.92	0.135755177	0.138075602	0.125111971	0.129294867
1.95	0.13510158	0.137522839	0.124509616	0.128802259
1.98	0.134453186	0.136904633	0.123912056	0.128243902
2.01	0.133809683	0.136211046	0.123319004	0.127609583
2.04	0.13317076	0.135432145	0.122730173	0.126889087
2.06	0.132747203	0.134587244	0.122339822	0.126091613
2.09	0.132115221	0.133703915	0.121757388	0.125255006
2.12	0.13148699	0.132785891	0.12117841	0.124384018
2.15	0.130862197	0.131836907	0.120602601	0.123482215
2.18	0.130240532	0.130860697	0.120029675	0.122553163
2.2	0.129827673	0.129860994	0.119649183	0.121600428
2.23	0.129210528	0.128841533	0.119080423	0.120627575
2.26	0.128595682	0.127806048	0.11851378	0.119638171
2.29	0.127982821	0.126758272	0.117948968	0.118635781
2.32	0.127373169	0.12570194	0.117387113	0.117623971
2.34	0.126969387	0.124640786	0.117014987	0.116606307
2.37	0.12636769	0.123578544	0.116460463	0.115586355
2.4	0.125770761	0.122518948	0.115910333	0.11456768
2.43	0.125178593	0.121465732	0.115364592	0.113553849
2.45	0.124786458	0.12042263	0.1150032	0.112548427
2.48	0.124202217	0.119393376	0.114464764	0.11155498
2.51	0.123622726	0.118381703	0.113930704	0.110577073
2.54	0.123047979	0.117391347	0.113401017	0.109618273
2.57	0.122477971	0.116426041	0.112875698	0.108682146
2.59	0.122100597	0.115489519	0.11252791	0.107772257
2.62	0.121538477	0.114585515	0.112009861	0.106892171
2.65	0.120981085	0.113717764	0.111496168	0.106045456
2.68	0.120428414	0.112889998	0.110986827	0.105235677
2.71	0.11988046	0.112105953	0.110481832	0.104466398
2.73	0.119517776	0.111369362	0.110147582	0.103741188
2.76	0.118977673	0.110678729	0.109649823	0.103060376
2.79	0.118442274	0.110003162	0.109156399	0.102394856
2.82	0.117911573	0.10933721	0.108667306	0.101737184
2.85	0.117385568	0.10868117	0.108182539	0.10108775
2.87	0.117037502	0.108035341	0.107861762	0.100446942
2.9	0.116519309	0.10740002	0.107384195	0.099815149
2.93	0.116005797	0.106775506	0.106910943	0.099192759
2.96	0.115496962	0.106162097	0.106442	0.09858016
2.98	0.115160334	0.10556009	0.106131764	0.097977743
3.01	0.114659281	0.104969784	0.105669994	0.097385894
3.04	0.114162892	0.104391477	0.105212522	0.096805004
3.07	0.113671162	0.103825466	0.104759343	0.096235461
3.1	0.113186209	0.103272051	0.10431241	0.095677652
3.12	0.112867878	0.102731529	0.104019037	0.095131968
3.15	0.112397536	0.102204198	0.103585569	0.094598797
3.18	0.11193541	0.101690356	0.103159674	0.094078527
3.21	0.111481087	0.101190302	0.10274097	0.093571547
3.24	0.111034155	0.100704333	0.102329077	0.093078245
3.26	0.110740101	0.100232747	0.102058077	0.092599012
3.29	0.110304567	0.099775843	0.101656689	0.092134234
3.32	0.109875322	0.099333919	0.101261097	0.091684301
3.35	0.109451951	0.098907272	0.100870918	0.091249602
3.38	0.109034042	0.098496201	0.100485773	0.090830525
3.4	0.108758266	0.098101003	0.100231618	0.090427458
3.43	0.108348542	0.097721978	0.099854016	0.090040791
3.46	0.107943177	0.097359422	0.099480432	0.089670913
3.49	0.107541759	0.097015292	0.099110485	0.089318217
3.51	0.107276136	0.09671413	0.098865687	0.088998477
3.54	0.106880377	0.096461295	0.098500956	0.088723898
3.57	0.106487463	0.096253249	0.098138846	0.088491287
3.6	0.106096981	0.096086456	0.097778978	0.08829745
3.63	0.105708517	0.095957376	0.097420969	0.088139192
3.65	0.105450457	0.095862472	0.097183142	0.088013319
3.68	0.105064439	0.095798206	0.096827387	0.087916637
3.71	0.104679336	0.09576104	0.096472476	0.087845953
3.74	0.104294736	0.095747437	0.096118029	0.087798071
3.77	0.103910227	0.095753859	0.095763665	0.087769798
3.79	0.103653733	0.095776767	0.09552728	0.08775794
3.82	0.103268454	0.095812624	0.095172208	0.087759303
3.85	0.102882164	0.095857892	0.094816202	0.087770692
3.88	0.102494926	0.095909034	0.094459324	0.087788913
3.91	0.102114085	0.09596251	0.094108341	0.087810772
3.93	0.101865009	0.096014785	0.093878792	0.087833076
3.96	0.101498231	0.096062319	0.09354077	0.08785263
3.99	0.101139186	0.096101575	0.093209874	0.087866239
4.02	0.100787345	0.096129015	0.092885617	0.087870711
4.04	0.100556526	0.096141102	0.092672894	0.08786285
4.07	0.100215516	0.096134296	0.09235862	0.087839463
4.1	0.099880301	0.096105062	0.092049685	0.087797355
4.13	0.099550351	0.09604986	0.091745603	0.087733333
4.16	0.099225136	0.095965153	0.091445886	0.087644202
4.18	0.099010697	0.095847403	0.091248259	0.087526768
4.21	0.098692202	0.095693072	0.090954733	0.087377837
4.24	0.098377032	0.095498622	0.090664273	0.087194215
4.27	0.09806466	0.095266721	0.090376391	0.086974185
4.3	0.097754556	0.095033188	0.090090599	0.086747935
4.32	0.097548819	0.094804031	0.089900992	0.086528122
4.35	0.097241321	0.094578871	0.089617602	0.086314252
4.38	0.096934681	0.094357326	0.089335002	0.08610583
4.41	0.096628371	0.094139017	0.089052706	0.085902359
4.44	0.096321861	0.093923562	0.088770227	0.085703346
4.46	0.096117149	0.093710581	0.088581564	0.085508295
4.49	0.095809131	0.093499694	0.088297695	0.085316711
4.52	0.095499504	0.093290519	0.088012343	0.085128099
4.55	0.095187739	0.093082677	0.08772502	0.084941964
4.57	0.094978446	0.092875786	0.087532136	0.084757811
4.6	0.094661941	0.092669466	0.087240445	0.084575144
4.63	0.094341888	0.092463337	0.086945484	0.084393469
4.66	0.094017757	0.092257018	0.086646765	0.08421229
4.69	0.093692796	0.092050128	0.086347281	0.084031113
4.71	0.093478044	0.091842286	0.086149365	0.083849442
4.74	0.093158618	0.091633113	0.085854983	0.083666782
